itemname,itemcode
胰岛素,2.1.4.69
类风湿因子,2.1.4.118
血清镁,2.1.4.81
铁,2.1.4.149
嗜酸性细胞绝对值,2.1.4.24
游离甲状腺素,2.1.4.174
淋巴细胞绝对值,2.1.4.16
总胆红素,2.1.4.57
C反应蛋白,2.1.4.200
白蛋白,2.1.4.61
促甲状腺激素,2.1.4.147
尿素,2.1.4.64
直接胆红素,2.1.4.58
嗜碱性细胞绝对值,2.1.4.26
胆碱酯酶,2.1.4.56
总蛋白,2.1.4.60
甲胎蛋白（液态芯片）,2.1.4.135
甲胎蛋白（AFP）,2.4.4.1
锌,2.1.4.148
载脂蛋白A1,2.1.4.75
血清磷,2.1.4.83
中间细胞绝对值,2.1.4.17
尿胆红素,2.1.4.35
幽门螺杆菌抗体,2.1.4.100
尿酸,2.1.4.66
白蛋白/球蛋白比值,2.1.4.63
血小板计数,2.1.4.10
尿比重,2.1.4.27
甲状腺素,2.1.4.146
低密度脂蛋白胆固醇,2.1.4.74
载脂蛋白B,2.1.4.76
铁蛋白,2.1.4.333
间接胆红素,2.1.4.59
血清钠,2.1.4.187
幽门螺杆菌检测（呼气试验）,2.2.4.1
总胆固醇,2.1.4.71
血清钾,2.1.4.186
中性粒细胞绝对值,2.1.4.18
天门冬氨酸氨基转移酶,2.1.4.52
胃癌相关抗原,2.1.4.540
血清铁,2.1.4.407
CA199(消化道、胰腺肿瘤),2.1.4.206
